username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
ACUEDUCTOSPR,2017-11-13 10:01,10,13,Personal #RegiónNorte participa iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #Jayuya pic.twitter.com/8U1VutQWve,,@BeatrizRossello,#Regi #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #Jayuya,9.30088285279486E+017,https://twitter.com/ACUEDUCTOSPR/status/930088285279485952,
ACUEDUCTOSPR,2017-11-13 06:53,7,12,. @PresidenteAAA participa en entrevista con @ZugeyLamela por @TelemundoPR #PRSeLevanta #AAAparaTodos #UnEquipo pic.twitter.com/OXnugSZ7Hz,,@PresidenteAAA @ZugeyLamela @TelemundoPR,#PRSeLevanta #AAAparaTodos #UnEquipo,9.30040894203589E+017,https://twitter.com/ACUEDUCTOSPR/status/930040894203588608,
ACUEDUCTOSPR,2017-11-11 08:11,1,1,Buen día! Gracias por escribirnos. En Escorial confrontamos problemas con el generador. Personal de AAA trabaja para resolver la situación en la mayor brevedad. Estamos a su orden. ML,,,,9.29335887195984E+017,https://twitter.com/ACUEDUCTOSPR/status/929335887195983874,
ACUEDUCTOSPR,2017-11-10 08:17,0,1,Indique dirección para enviar cotejo. Wm,,,,9.28974910906667E+017,https://twitter.com/ACUEDUCTOSPR/status/928974910906667010,
ACUEDUCTOSPR,2017-11-09 15:05,0,2,Saludos. Notificado al área operacional para cotejo del sistema que le sirve. Wm,,,,9.28715078710514E+017,https://twitter.com/ACUEDUCTOSPR/status/928715078710513666,
ACUEDUCTOSPR,2017-11-09 10:54,0,0,"Buenos días, personal verificó la situación y corresponde al municipio. Es un sistema de aguas pluviales.ML",,,,9.2865212062201E+017,https://twitter.com/ACUEDUCTOSPR/status/928652120622010369,
ACUEDUCTOSPR,2017-11-09 10:45,0,0,"Buenos días, se refiere el caso al área operacional para su cotejo y acción correspondiente. ML",,,,9.28649718971986E+017,https://twitter.com/ACUEDUCTOSPR/status/928649718971985921,
ACUEDUCTOSPR,2017-11-09 10:44,0,0,"Buenos días, se refiere el caso al área operacional para su cotejo y acción correspondiente. ML",,,,9.28649492441829E+017,https://twitter.com/ACUEDUCTOSPR/status/928649492441829376,
ACUEDUCTOSPR,2017-11-09 10:42,0,0,"Buenos días, se refiere el caso al área operacional para su cotejo y acción correspondiente. ML",,,,9.28649107568198E+017,https://twitter.com/ACUEDUCTOSPR/status/928649107568197637,
ACUEDUCTOSPR,2017-11-09 10:41,0,0,"Buenos días, se refiere el caso al área operacional para su cotejo y acción correspondiente. ML",,,,9.28648681426956E+017,https://twitter.com/ACUEDUCTOSPR/status/928648681426956288,
ACUEDUCTOSPR,2017-11-09 09:24,0,8,[Informamos] progreso de clientes con servicio desde el #10Octubre hasta el #8Noviembre #PRSeLevanta #PRStrong pic.twitter.com/RMC6PVX6sA,,,#10Octubre #8Noviembre #PRSeLevanta #PRStrong,9.28629487331369E+017,https://twitter.com/ACUEDUCTOSPR/status/928629487331368960,
ACUEDUCTOSPR,2017-11-09 09:21,4,14,"[Informamos] Desde el día uno, hemos estado trabajando arduamente y sin descanso porque #PRSeLevanta #PRStrong #88% clientes con servicio pic.twitter.com/UrDeFCXNPR",,,#PRSeLevanta #PRStrong #88,9.28628623476654E+017,https://twitter.com/ACUEDUCTOSPR/status/928628623476654080,
ACUEDUCTOSPR,2017-11-08 13:46,0,0,"Buenas tardes, nos puede indicar la calle donde se encuentra, el salidero. ML",,,,9.28332975577682E+017,https://twitter.com/ACUEDUCTOSPR/status/928332975577681920,
ACUEDUCTOSPR,2017-11-08 11:25,12,20,Personal #RegiónNorte participa iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #Jayuya pic.twitter.com/5VfJi0bYBX,,@BeatrizRossello,#Regi #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #Jayuya,9.28297525513282E+017,https://twitter.com/ACUEDUCTOSPR/status/928297525513281543,
ACUEDUCTOSPR,2017-11-08 11:17,0,0,Saludos. Intermitencias debido a baja producción en planta de filtros Montaña. Se trabaja para estabilizar el sistema. Wm,,,,9.28295391921103E+017,https://twitter.com/ACUEDUCTOSPR/status/928295391921102849,
ACUEDUCTOSPR,2017-11-08 11:16,1,2,Personal #RegiónMetro participa iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #Canovanas @LORNNASOTO pic.twitter.com/7I1ueg1ZIJ,,@BeatrizRossello @LORNNASOTO,#Regi #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #Canovanas,9.28295160190038E+017,https://twitter.com/ACUEDUCTOSPR/status/928295160190038016,
ACUEDUCTOSPR,2017-11-08 11:15,4,2,Personal #RegiónMetro participa iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #Canovanas @LORNNASOTO pic.twitter.com/wILyxaItBO,,@BeatrizRossello @LORNNASOTO,#Regi #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #Canovanas,9.28294819365098E+017,https://twitter.com/ACUEDUCTOSPR/status/928294819365097478,
ACUEDUCTOSPR,2017-11-08 11:12,0,0,Saludos. Indique sector y carr para poder verificar.,,,,9.28294115837665E+017,https://twitter.com/ACUEDUCTOSPR/status/928294115837665280,
